id,group,requirement,source,blocking,status,summary,n_bad,extent
H1,corridor,No pipe along a dual carriageway; no pipe or chamber in a wadi,"project rules 7, 8",True,FAIL,5 reaches run along a dual carriageway,5,0.44 km
H2,hydraulics,"Capacity >= discharge, within the d/D limit",G203-p27 T10,True,NOT_CHECKABLE,"'pipe layer has no DN, QPK_LS'",0,
H3,cover,"Minimum cover 1.30 m to crown, on the reach's OWN outside diameter",G203-p33,True,NOT_CHECKABLE,"'pipe layer has no DN, US_DEPTH, DS_DEPTH'",0,
H4,cover,"Maximum cover 12 m, exits only via philosophy 5",G203-p33,True,NOT_CHECKABLE,"'pipe layer has no DN, US_DEPTH, DS_DEPTH'",0,
H5,hydraulics,Self-cleansing by EITHER route - velocity or tractive force,G203-p26-27,True,NOT_CHECKABLE,"'pipe layer has no DN, QPK_LS'",0,
H6,hydraulics,Gradient >= Table 11 for the diameter,G203-p29 T11,True,NOT_CHECKABLE,"'pipe layer has no DN, QPK_LS'",0,
H7,hydraulics,Maximum velocity 3.0 m/s gravity,G203-p27,True,NOT_CHECKABLE,"'pipe layer has no DN, QPK_LS'",0,
H8,sizing,"Diameter set by flow, never by the depth wanted",G203-p29,True,NOT_CHECKABLE,'pipe layer has no SIZED_BY',0,
H9,sizing,Minimum sizes and materials by tier,G203-p22 T6,True,NOT_CHECKABLE,'pipe layer has no DN',0,
H10,chambers,Inlet angle >= 90 degrees,G203-p30,True,NOT_CHECKABLE,'no node layer with INLET_DEG - inlet angles are not computed',0,
H11,levels,No reverse gradient; laying tolerance 20 mm,G203-p29,True,NOT_CHECKABLE,"'pipe layer has no INV_UP, INV_DN'",0,
H12,chambers,Chamber spacing within Table 12,G203-p30,True,NOT_CHECKABLE,'pipe layer has no DN',0,
H13,levels,Uniform slope between successive manholes,G203-p29,True,NOT_CHECKABLE,'no SLOPE_LAID - cannot verify slope uniformity within a reach',0,
H14,levels,An existing structure's invert is fixed; tie in soffit to soffit,practice,True,NOT_CHECKABLE,'pipe layer has no TIE_TYPE - connections to the existing network are not recorded',0,
H15,topology,"The network is a FOREST - zero loops, and every component reaches exactly one outfall",project rule,True,PASS,"loop-free forest, 261 component(s), exactly one outfall each (261 outfalls)",0,
H16,topology,"Every pipe publishes US_NODE/DS_NODE, and the declared graph MATCHES the geometry",philosophy 3.6a / H16,True,PASS,declared and drawn topology agree: 261 component(s),0,
R1,regression,No surcharged pipe (W10 shipped 2.80 km),W10 post-mortem,True,NOT_CHECKABLE,"'pipe layer has no DN, QPK_LS'",0,
R2,regression,No reach below minimum cover (W10 shipped 45.92 km),W10 post-mortem,True,NOT_CHECKABLE,"'pipe layer has no DN, US_DEPTH, DS_DEPTH'",0,
R3,regression,No pipe along a dual carriageway (W10 shipped 1.67 km),W10 post-mortem,True,FAIL,5 reaches run along a dual carriageway,5,0.44 km
R4,regression,No pipe ALONG a wadi. A crossing is legal only under H1a (W10 shipped 131.7 km),"philosophy H1a / G203-p30 4.4.1, p33 / G201-p85-86",True,FAIL,"62 reaches run ALONG a wadi, 2,367 cross one without a scheduled CROSS_ID; 51 % of samples fall outside the hazard grid and are UNTESTED (6,686 reaches entirely so)",62,5.6 km
G1,provenance,"The laid gradient is published, with the minimum beside it",philosophy 5,True,FAIL,"only the minimum gradient is published, so nothing about velocity, fall or drop can be checked",0,
G2,provenance,Every reach records what set its diameter and its gradient,philosophy 3,True,FAIL,"missing SIZED_BY, GRAD_BY",0,
