id,group,requirement,source,blocking,status,summary,n_bad,extent
H1,corridor,No pipe along a dual carriageway; no pipe or chamber in a wadi,"project rules 7, 8",True,FAIL,5 reaches run along a dual carriageway,5,0.44 km
H2,hydraulics,"Capacity >= discharge, within the d/D limit",G203-p27 T10,True,PASS,every pipe passes its peak flow within d/D,0,
H3,cover,"Minimum cover 1.30 m to crown, on the reach's OWN outside diameter",G203-p33,True,PASS,every reach has at least 1.30 m of cover,0,
H4,cover,"Maximum cover 12 m, exits only via philosophy 5",G203-p33,True,PASS,nothing past 12 m of cover,0,
H5,hydraulics,Self-cleansing by EITHER route - velocity or tractive force,G203-p26-27,True,PASS,"all self-cleansing: 601 by velocity, 153 by tractive force (20 % - exposed to the tau = 1.0 Pa assumption, GAP-9)",0,
H6,hydraulics,Gradient >= Table 11 for the diameter,G203-p29 T11,True,PASS,every gradient meets its minimum,0,
H7,hydraulics,Maximum velocity 3.0 m/s gravity,G203-p27,True,PASS,nothing over 3.0 m/s,0,
H8,sizing,"Diameter set by flow, never by the depth wanted",G203-p29,True,PASS,every diameter attributed to a permitted cause,0,
H9,sizing,Minimum sizes and materials by tier,G203-p22 T6,True,PASS,every pipe at or above its tier minimum,0,
H10,chambers,Inlet angle >= 90 degrees,G203-p30,True,FAIL,5 inlets below 90 degrees (flagged: 5),5,
H11,levels,No reverse gradient; laying tolerance 20 mm,G203-p29,True,PASS,every reach falls by more than the 20 mm tolerance,0,
H12,chambers,Chamber spacing within Table 12,G203-p30,True,PASS,every reach within its Table 12 spacing,0,
H13,levels,Uniform slope between successive manholes,G203-p29,True,PASS,one gradient per reach by construction,0,
H14,levels,An existing structure's invert is fixed; tie in soffit to soffit,practice,True,PASS,every tie-in is soffit to soffit,0,
H15,topology,"The network is a forest - zero loops, on the PUBLISHED layer",project rule,True,FAIL,"0 independent cycles, 4 disconnected pieces",0,
R1,regression,No surcharged pipe (W10 shipped 2.80 km),W10 post-mortem,True,PASS,every pipe passes its peak flow within d/D,0,
R2,regression,No reach below minimum cover (W10 shipped 45.92 km),W10 post-mortem,True,PASS,every reach has at least 1.30 m of cover,0,
R3,regression,No pipe along a dual carriageway (W10 shipped 1.67 km),W10 post-mortem,True,FAIL,5 reaches run along a dual carriageway,5,0.44 km
R4,regression,No pipe on wadi ground (W10 shipped 131.7 km),W10 post-mortem,True,FAIL,100 reaches on wadi ground,100,11.1 km
G1,provenance,"The laid gradient is published, with the minimum beside it",philosophy 5,True,PASS,both gradients published,0,
G2,provenance,Every reach records what set its diameter and its gradient,philosophy 3,True,PASS,constraint provenance present on every reach,0,
G3,provenance,The published layer reproduces the design graph,philosophy 8,True,PASS,4 component(s) by geometry,0,
