field,type,units,required,blank_ok,audit,allowed,why,layer
NODE_UID,str,-,True,False,G3,,"immutable identity, minted once by NodeIndex and never reassigned. Everything that references a chamber references THIS, so a pass-2 relabel cannot orphan a reference",nodes
IS_OUTFALL,int,0/1,True,False,H15,,"1 where this chamber is where its system discharges. H15 requires EXACTLY ONE per connected component - not one network, because sec 8a allows satellite works, but never a piece that drains nowhere. It lives on the NODE because an outfall is a property of a chamber; audit.h15 looked for it on the PIPE layer and returned a blocking FALSE failure against a design that had one per component",nodes
NODE_REF,str,-,True,False,,,"the human/NAMA-style label (5A-2-SM.2-MH391). Derived from tier+package+sequence, recomputed freely, referenced by NOTHING - objective 3 says it must read like their network, and that must not cost referential integrity",nodes
NODE_KIND,str,-,True,False,,head|chamber|junction|drop|station|outfall|tie,what the structure is; drives the schedule and the drawing symbol. G203-p29 sec 4.4 lists the triggers a chamber may exist for,nodes
X,float,m,True,False,,,"authoritative easting. The Point geometry is BUILT from X/Y, not the other way round - geometry is a view",nodes
Y,float,m,True,False,,,authoritative northing,nodes
GRD_M,float,m aOD,True,False,,,ground level sampled from the 0.5 m VRT (rule 6). Named separately from the terrain so the audit can resample and compare,nodes
INV_M,float,m aOD,True,False,,,invert of the OUTGOING reach - the governing level at this structure,nodes
DEPTH_M,float,m,True,False,,,GRD_M - INV_M. Published rather than derived so the chamber schedule and the pipe layer cannot disagree,nodes
COVER_M,float,m,True,False,H3,,"cover to the crown of the shallowest connected pipe, on that pipe's OWN outside diameter, via cover(). W10 used a hardcoded 0.30 m and shipped 45.92 km below minimum (H3, G203-p33)",nodes
TIER,str,-,True,False,H9,rider|lateral|main|sub main|trunk main,tier of the outgoing reach,nodes
DS_NODE,str,-,True,True,H15,,"THE forest invariant, stored not computed: every node has exactly one downstream node, empty only at a terminal. H15 becomes true by construction instead of by audit",nodes
N_IN,int,-,True,False,,,"incoming reaches; >1 makes it a junction, and junction count is how the hierarchy is measured (philosophy sec 4)",nodes
N_OUT,int,-,True,False,H15,,"outgoing reaches - 0 at a terminal, 1 everywhere else, never more. Published so it can be cross-checked against the REACH layer's own out-degree: two independently computed numbers agreeing is what catches the W10 defect where the node and pipe layers came from different solves and disagreed by up to 10.39 m of depth",nodes
INLET_DEG,float,deg,True,False,H10,,smallest angle any inlet makes with the outgoing flow; G203-p30 requires >= 90 deg,nodes
INLET_FLAG,int,0/1,True,False,H10,,"1 where INLET_DEG is short of the minimum and a purpose-made swept channel is required. audit H10 reads this to distinguish a known, priced problem from an unnoticed one",nodes
MH_DIA,float,m,False,False,,,"internal chamber diameter. 1.0 m default; G203-p30 requires >= 1.5 m wherever an internal backdrop is unavoidable. No table exists in G203 for size against depth (verified) - this is the contractor's number and the take-off's, so it is stored, not inferred at print time",nodes
MH_MAT,str,-,False,True,,,"chamber material. G203 gives no table (it says only 'sufficient size'), so this is a stated assumption per PAM-SPC, not a criterion",nodes
DROP_M,float,m,True,False,,,external backdrop height; G203-p30 requires one above 0.60 m and a vortex shaft above 2.0 m,nodes
DROP_TYPE,str,-,True,False,,none|backdrop|vortex,none/backdrop/vortex - ramped and EXTERNAL to the manhole (philosophy sec 5). Never used to dodge a station,nodes
VORTEX,int,0/1,True,False,,,"1 where DROP_M > 2.0 m and a vortex drop shaft is required (G203-p30). Its own flag because it is a different STRUCTURE with a different cost, not a deeper backdrop - the as-built has 37 that were built as backdrops anyway (P10)",nodes
Q_ADF_M3D,float,m3/d,True,False,,,"accumulated sanitary average dry weather flow, infiltration EXCLUDED",nodes
Q_PK_LS,float,L/s,True,False,,,accumulated peak flow including unpeaked infiltration; the number the outgoing reach is sized on,nodes
N_PROP,float,-,True,False,,,properties served at or above this node; the unit the options appraisal costs per (m per property),nodes
PAST_CAP,int,0/1,True,False,H4,,1 where cover exceeds the 12 m cap,nodes
