ID,WHAT,WHY,IF_WRONG,KIND,SOURCE
A-LEV-1,"The load levelled here is s4_chambers' `connections` layer - 70,405.5 m3/d over 53,018 plots - not the 74,701.2 m3/d of the project total.","s4 could not find a chamber within 45 m for 3,396 plots and published them in `unserved`. Levelling the project total would put flow in pipes that do not collect it. The difference is reconciled row by row in `reconcile`.","Every pipe carrying one of those 3,396 plots would be one size step larger at most; the 4,295.7 m3/d is 5.75 % of the total and is concentrated at the edges of the network, not on the trunk.",project doctrine,s4_chambers `connections` / `unserved`
A-LEV-2,"Below 100 properties the peak factor is the Merrimack formula evaluated AT 100 properties (3.62139), and PF_METH says 'merrimack'.","G201-p71 7.4.2 says Merrimack 'is to be used ... for an area having over 100 properties' and prescribes nothing below. s5_flows holds the factor at the threshold value (A-FLOW-2) and this stage uses S5'S OWN NUMBER so the two stages cannot disagree. The method IS Merrimack; what is held is its argument. THREE-WAY CONFLICT, see `conflicts`: criteria.peak_factor() returns 1.0 and calls it 'held', and contract._cross_field REJECTS PF != 1.0 on a row labelled 'held' - so the honest label for a plateau at 3.62 is 'merrimack'.","At PF = 1.0 every lateral would be sized on average flow. At the Merrimack extrapolation the factor would rise without bound as the catchment shrinks. The plateau is the only reading that is continuous, conservative and inside the formula's stated range.",project decision,G201-p71 7.4.2 (threshold); the plateau is OURS
A-LEV-3,A reach is never smaller than the reach immediately upstream of it.,"Flow accumulates downstream, so the hydraulic answer is almost always non-decreasing anyway; a steeper reach can nevertheless carry the same flow in a smaller pipe, and a constriction in a gravity sewer is a blockage waiting to happen. No guideline states this - it is practice.",`sizing_reason` publishes how many reaches were set by this floor rather than by the flow. Removing it would shrink those reaches by one step.,project decision,practice; G203 is silent
A-LEV-4,"CROWN MATCHING at every chamber: an incoming pipe's soffit is never below the outgoing pipe's soffit, so a step of (OD_out - OD_in) is the smallest legal invert difference where the pipe grows.","Philosophy P5 offers invert OR crown matching. Crown matching is the one that keeps the hydraulic grade line continuous when the diameter changes; invert matching would make the smaller pipe discharge into a deeper flow and back it up. It is also what makes the drop count meaningful: a drop is then a real level difference, not an artefact of the matching rule.",Invert matching would remove the diameter-step drops (168 of them here) and add surcharge risk at every size change.,project decision,philosophy P5; G203 states no matching rule
A-LEV-5,Pass 2 NEVER lays a reach flatter than pass 1 did.,"Pass 1's inverts are the shallowest legal profile. Flattening any reach in pass 2 would raise its downstream invert, which is the level its junction was levelled to, and every chamber below it would have to move. Only steepening is safe, so pass 2 is a pure improvement and pass 1's compliance survives it (philosophy sec 7: pass 2 must not break pass 1).","Nothing - this is a constraint on the method, and `pass2` publishes the fall it recovered so the constraint's cost is visible.",method,philosophy sec 7
A-LEV-6,Tractive stress tau = 1.0 Pa.,"ENGINEER'S DECISION 2026-09-03, GAP-9 open. G203-p27 4.2.2.1 gives the equation and never the stress. It is FLAGGED on every output of this stage and carried on every published row in TAU_PA.",At 2.0 Pa every tractive-governed gradient rises by 2^1.23 = 2.346x. The whole-stage sensitivity is in `sweep` - run `--sweep`.,ASSUMPTION (GAP-9),G203-p27 4.2.2.1 is silent on tau
A-LEV-7,"The 195 terminals are levelled to whatever the network gives them. No tie-in invert is imposed, and TIE_TYPE is 'none' on every reach.","The existing works inlet invert is unconfirmed (00_CURRENT, open data request), and the client's Main Pipe is an INPUT that is not in this graph. H14 says the design yields to an existing invert - there is no confirmed one to yield to.","If the works inlet is HIGHER than a terminal's invert the network cannot discharge and a terminal station appears; if LOWER, depth is being wasted. The deepest and shallowest terminal inverts are published in `outfalls` so the check can be made the day the level arrives.",GAP,DATA REQUEST to NWS
A-LEV-8,"The crossings register is minted HERE, provisionally, because no corridor stage published one. Every row is APPROVED = 0.","contract._cross_field refuses to publish a reach on wadi ground with no CROSS_ID, and it is right to: W10 shipped 47 unscheduled crossings. The register is a stage-2 product; this is a stand-in so the levels can be published, and every row carries its measured skew angle and whether a chamber sits on wadi ground.","A run that is really a pipe ALONG a wadi would be registered as a crossing. `crossings` publishes the skew and the contact length of every row so that reading can be checked, and H1a's verdict per row is in `wadi_h1a`.",STAND-IN,philosophy H1a; G201-p85-86 sec 9.3
A-LEV-9,"No start-year flows exist, so self-cleansing is checked at the SATURATION flow only.",Inherited from s5's A-FLOW-6: W10_plot_loads carries one figure per plot.,"A pipe that scours in 2055 may silt in 2030. Philosophy sec 6 requires the check and it CANNOT RUN. This is a GAP, not a pass.",GAP,data; G201-p73 phasing not modelled
A-LEV-10,A station is LOCATED here and DESIGNED by s7_pumps. It terminates its gravity component; the chamber it would have drained to is re-based at minimum cover and receives the rising main (G203-p55 8.5: termination not more than 300 mm above the receiving flow line).,"The interface s7 documents is `nodes` where NODE_KIND == 'station', carrying X, Y, GRD_M, INV_M, Q_PK_LS, Q_ADF_M3D and N_PROP. W11a published 226 stations with Q_DUTY_LS = 0 on every one of them.","The reach between a station and its discharge chamber is withdrawn from the gravity layer and published in `pumped_links` - it is the rising main's alignment, not a sewer. That is 1 reach per station and the total is published.",project decision,philosophy sec 5; s7_pumps interface
A-LEV-11,A philosophy sec 5 exit is WITHDRAWN when any chamber inside the excursion carries a drop OR a cover greater than criteria.DROP_CEILING_M (20.0 m).,"Philosophy sec 5 states the depth bound as the drop ceiling. The cover bound uses THE SAME declared constant rather than a second number, because a distance-only exit produced a 36.81 m chamber with a 35.06 m drop into it on 2026-09-02 and that is the failure the bound exists to stop. It is one declared project ceiling used twice, not two engineering judgements.",A looser ceiling permits deeper excursions and fewer stations; a tighter one buys stations. `sweep` publishes the station count against the ceiling.,project assumption,philosophy sec 5; G203 gives no vortex maximum
A-LEV-12,A station is sited at the last chamber still INSIDE the cap on the branch whose arriving invert governs the breach - never at the junction the branch ends at.,"Philosophy sec 5: 'the station goes at the FOOT of the climb, not at the junction. A drop is flow going down; a station lifts it up. One where they meet is physically incoherent.' Siting at the front rather than the junction also keeps the station chamber itself inside the 12 m cap, so no station is published with an unjustified PAST_CAP.","Where the breach sits inside a contiguous UPHILL stretch the ideal site is the foot of that stretch, which is further upstream. Moving it there would strand the chambers between, because their pipe would have to be re-oriented - a stage-2/3 decision, not a levelling one. The count and the climb involved are published in `station_sites` and named in the report as an OPEN item for the layout stages.",project decision,philosophy sec 5
