QUANTITY,VALUE,UNIT,NOTE
gravity network published,1489.675926832925,km,"56,652 reaches, 56,930 chambers"
chambers per km,38.216365703803845,/km,"built 34.23, band 33.29 - 36.76"
ADWF levelled,70405.49373090705,m3/d,"s4 connections; the project total is 74,701.2 (A-LEV-1)"
largest peak flow on any gravity reach,225.63020735829343,L/s,the whole basis of the diameter series
largest diameter,900.0,mm,series reaches DN2400 - see the diameter table
"cover, median (length-weighted)",2.4647298014688204,m,"built 1.72, band 1.34 - 2.07"
deepest excavation,19.77843962712518,m,the cap is 12 m of cover (G203-p33)
VORTEX DROP SHAFTS,41.0,-,"W11a wanted 2,449; NAMA built 37 in 63.2 km"
vortex drop shafts per km,0.02752276469095306,/km,built 0.585/km; W11a 1.475/km
lifting stations the cap demands,83.0,-,LOCATED here with a real duty flow; DESIGNED by s7
length draining against the ground,26.331448081382607,%,"s2/s3's layout, unchanged here. Built 34.1 %, W11a 42.5 %"
climb divided by descent,0.41620932356451196,-,"built 0.483, band <= 0.647; W11a 0.747"
reaches below the 1.30 m minimum cover,0.0,-,G203-p33 4.6.3; the built network is short on 35.9 % of its length
reaches over the d/D limit,0.0,-,"G203-p27 Table 10; W10 shipped 66, W11a 168"
reaches over 3.0 m/s,0.0,-,G203-p27 4.2.2.2
reaches laid at the 25 % publishing bound,200.0,-,"the contract's own range guard on SLOPE_LAID, not a guideline rule - these reaches wanted to be steeper still"
chambers deepened for a cliff the pipe may not follow,15.0,-,philosophy sec 5: hold the gradient and take the difference at a drop chamber - the chamber is at the TOP of the cliff
